ArrivalMean,ServiceMean,Ratio,Avg Delay,Avg Queue Length,Total Runtime
5,0,0,0,0,436.17
5,0.05,0.01,nan,nan,inf
5,0.1,0.02,0.089419,0.00036388,460.855
5,0.15,0.03,0.147276,0.000758654,499.85
5,0.2,0.04,0.196887,0.00207646,508.462
5,0.25,0.05,0.238321,0.00137741,480.983
5,0.3,0.06,inf,nan,inf
5,0.35,0.07,0.342141,0.00487237,503.229
5,0.4,0.08,0.387357,0.00772863,473.98
5,0.45,0.09,0.424216,0.00752678,474.845
5,0.5,0.1,0.459773,0.00891485,472.213
5,0.55,0.11,0.516681,0.0131889,452.452
5,0.6,0.12,0.536949,0.0136061,459.161
5,0.65,0.13,0.575333,0.0178972,441.59
5,0.7,0.14,0.597266,0.0180863,436.667
5,0.75,0.15,0.642059,0.0230024,434.709
5,0.8,0.16,0.679023,0.0308666,406.127
5,0.85,0.17,0.70221,0.0293843,411.892
5,0.9,0.18,0.724392,0.0360806,402.864
5,0.95,0.19,0.737994,0.0361089,405.784
5,1,0.2,0.810135,0.0477447,368.016
5,1.05,0.21,inf,nan,inf
