ArrivalMean,ServiceMean,Ratio,Avg Delay,Avg Queue Length,Total Runtime
50,0,0,0,0,5930.49
50,0.5,0.01,0.486392,0.00016422,5087.55
50,1,0.02,nan,nan,inf
50,1.5,0.03,1.43596,0.000577204,5017.9
50,2,0.04,1.93316,0.00115795,5090.75
50,2.5,0.05,2.53079,0.00236403,5344.54
50,3,0.06,2.92901,0.00312416,4868.06
50,3.5,0.07,inf,nan,inf
50,4,0.08,3.93188,0.00922304,4926.61
50,4.5,0.09,4.42119,0.00961458,4760.24
50,5,0.1,4.70662,0.00989526,4620.86
50,5.5,0.11,4.98036,0.0131453,4511.91
50,6,0.12,5.39478,0.0146029,4535.18
50,6.5,0.13,5.56917,0.0172455,4428.08
50,7,0.14,6.12146,0.0176478,4575.36
50,7.5,0.15,6.50014,0.021612,4300.5
50,8,0.16,6.69206,0.0308296,3993.52
50,8.5,0.17,6.80742,0.0275683,4236.36
50,9,0.18,7.52039,0.0323595,4007.18
50,9.5,0.19,inf,nan,inf
50,10,0.2,7.52749,0.0312793,3917.78
50,10.5,0.21,inf,nan,inf
50,11,0.22,8.39176,0.0504384,3688.61
50,11.5,0.23,nan,nan,inf
50,12,0.24,8.39428,0.0482726,3556.11
50,12.5,0.25,8.36559,0.0580818,3407.95
50,13,0.26,nan,nan,inf
50,13.5,0.27,8.89282,0.0711626,3267.11
50,14,0.28,8.98836,0.0633282,3379.26
50,14.5,0.29,9.06298,0.0718584,3212.39
50,15,0.3,9.69681,0.074497,3169.19
50,15.5,0.31,9.59444,0.078327,3078.61
50,16,0.32,9.66176,0.0750295,3207.75
50,16.5,0.33,9.84176,0.084729,2952.74
50,17,0.34,9.86801,0.109707,2819.95
50,17.5,0.35,10.0828,0.100814,2933.76
50,18,0.36,10.3046,0.112654,2851.4
50,18.5,0.37,nan,nan,inf
50,19,0.38,10.1299,0.109499,2829.29
50,19.5,0.39,10.2789,0.112385,2665.51
50,20,0.4,10.547,0.122358,2707.24
50,20.5,0.41,10.4603,0.139127,2554.52
50,21,0.42,10.728,0.14703,2549.03
50,21.5,0.43,10.7666,0.154668,2517.52
50,22,0.44,10.8937,0.165013,2460.35
50,22.5,0.45,10.7366,0.169545,2485.9
50,23,0.46,10.8099,0.163032,2386.28
50,23.5,0.47,11.5377,0.188604,2357.22
50,24,0.48,11.5377,0.209974,2379.57
50,24.5,0.49,11.5543,0.247576,2290.12
50,25,0.5,11.5637,0.194026,2343.3
50,25.5,0.51,11.5896,0.259749,2228.86
50,26,0.52,11.7568,0.240582,2195.75
50,26.5,0.53,11.0602,0.264791,2168.59
50,27,0.54,11.6868,0.301963,2120.09
50,27.5,0.55,11.2266,0.25017,2127.74
50,28,0.56,inf,nan,inf
50,28.5,0.57,11.3998,0.298148,2002.8
50,29,0.58,11.4148,0.257905,2059.9
50,29.5,0.59,11.37,0.294224,1976.76
50,30,0.6,11.8407,0.304813,2017.75
50,30.5,0.61,12.2246,0.395025,1933.91
50,31,0.62,12.5924,0.417447,1903.78
50,31.5,0.63,12.3358,0.363308,1926.29
50,32,0.64,13.1949,0.45003,1918.6
50,32.5,0.65,12.2964,0.375159,1883.95
50,33,0.66,nan,nan,inf
50,33.5,0.67,12.4489,0.41361,1835.44
50,34,0.68,12.279,0.415621,1772.5
50,34.5,0.69,nan,nan,inf
50,35,0.7,12.4832,0.397236,1863.4
50,35.5,0.71,nan,nan,inf
50,36,0.72,13.41,0.620242,1725.89
50,36.5,0.73,13.9185,0.605946,1708.12
50,37,0.74,12.7355,0.551966,1691.72
50,37.5,0.75,13.7549,0.662878,1688.72
50,38,0.76,13.1551,0.816801,1609.87
50,38.5,0.77,14.245,0.766589,1661.87
50,39,0.78,13.4076,0.697535,1642.18
50,39.5,0.79,14.1726,0.748762,1637.88
50,40,0.8,14.8139,0.805081,1634.76
50,40.5,0.81,nan,nan,inf
50,41,0.82,14.8323,0.837256,1583.07
50,41.5,0.83,13.9134,0.794948,1603
50,42,0.84,14.2535,0.907423,1548.13
50,42.5,0.85,14.1548,0.804986,1582.29
50,43,0.86,15.8948,0.99064,1520.4
50,43.5,0.87,14.4086,1.01354,1535.93
50,44,0.88,nan,nan,inf
50,44.5,0.89,15.3325,0.820789,1555.01
50,45,0.9,19.7505,1.35658,1508.12
50,45.5,0.91,18.0482,1.33844,1446.66
50,46,0.92,16.9565,1.23328,1505.74
50,46.5,0.93,22.0711,1.45323,1474.44
50,47,0.94,17.731,1.16036,1488.77
50,47.5,0.95,17.4801,1.25169,1450.96
50,48,0.96,17.2253,1.45555,1461.81
50,48.5,0.97,21.2414,1.33382,1441.83
50,49,0.98,20.22,1.27319,1449.22
