Turn, Serial No , Queue No , Type , Length , Speed , Arrival , Depart, Service , Wait 
2,7,2,small,4,19,0,0,8,0
2,8,2,small,4,18,0,0,41,0
2,9,2,medium,8,10,0,0,75,0
2,10,2,small,3,18,0,0,108,0
2,11,2,small,3,18,0,0,141,0
2,12,2,small,4,15,0,0,175,0
3,13,3,large,14,6,0,200,8,200
3,14,3,small,3,18,0,200,9,200
3,15,3,medium,9,13,0,200,11,200
3,16,3,large,13,5,0,200,12,200
3,17,3,large,12,9,0,200,13,200
3,18,3,small,4,18,0,200,15,200
3,35,3,large,12,8,100,200,16,100
3,36,3,medium,8,12,100,200,17,100
3,37,3,large,15,7,100,200,19,100
3,38,3,medium,8,13,100,200,20,100
3,39,3,medium,8,11,100,200,21,100
3,40,3,medium,7,14,100,200,23,100
3,55,3,large,13,6,200,200,24,0
3,56,3,small,3,19,200,200,25,0
3,57,3,large,16,6,200,200,27,0
3,58,3,medium,9,12,200,200,28,0
3,59,3,large,12,8,200,200,29,0
3,60,3,medium,7,11,200,200,31,0
3,61,3,large,16,8,200,200,32,0
1,0,1,small,4,19,0,400,6,400
1,1,1,medium,9,10,0,400,7,400
1,2,1,small,3,18,0,400,8,400
1,3,1,large,14,8,0,400,9,400
1,4,1,large,13,8,0,400,10,400
1,5,1,small,3,16,0,400,11,400
1,6,1,large,13,7,0,400,12,400
1,19,1,medium,8,11,100,400,13,300
1,20,1,medium,7,13,100,400,14,300
1,21,1,medium,7,14,100,400,15,300
1,22,1,small,4,18,100,400,16,300
1,23,1,medium,9,13,100,400,17,300
1,24,1,medium,9,11,100,400,18,300
1,25,1,large,16,8,100,400,19,300
1,26,1,large,13,9,100,400,20,300
1,41,1,small,4,17,200,400,21,200
1,42,1,large,13,6,200,400,22,200
1,43,1,large,12,5,200,400,23,200
1,44,1,medium,7,10,200,400,24,200
1,45,1,large,16,5,200,400,25,200
1,46,1,medium,9,13,200,400,26,200
1,47,1,medium,9,12,200,400,27,200
