Serial No , Queue No , Type , Length , Speed , Arrival , Depart, Service , Wait 
0,1,small,4,19,0,0,0,0
1,1,medium,9,10,0,0,0,0
2,1,small,3,18,0,0,0,0
3,1,large,14,8,0,0,0,0
4,1,large,13,8,0,0,0,0
5,1,small,3,16,0,0,0,0
6,1,large,13,7,0,0,0,0
7,2,small,4,19,0,0,0,0
8,2,small,4,18,0,0,0,0
9,2,medium,8,10,0,0,0,0
10,2,small,3,18,0,0,0,0
11,2,small,3,18,0,0,0,0
12,2,small,4,15,0,0,0,0
13,3,large,14,6,0,0,0,0
14,3,small,3,18,0,0,0,0
15,3,medium,9,13,0,0,0,0
16,3,large,13,5,0,0,0,0
17,3,large,12,9,0,0,0,0
18,3,small,4,18,0,0,0,0
19,1,medium,8,11,100,0,0,0
20,1,medium,7,13,100,0,0,0
21,1,medium,7,14,100,0,0,0
22,1,small,4,18,100,0,0,0
23,1,medium,9,13,100,0,0,0
24,1,medium,9,11,100,0,0,0
25,1,large,16,8,100,0,0,0
26,1,large,13,9,100,0,0,0
27,2,small,3,17,100,0,0,0
28,2,medium,9,12,100,0,0,0
29,2,medium,7,13,100,0,0,0
30,2,small,3,15,100,0,0,0
31,2,large,14,7,100,0,0,0
32,2,medium,9,10,100,0,0,0
33,2,medium,8,12,100,0,0,0
34,2,medium,7,12,100,0,0,0
35,3,large,12,8,100,0,0,0
36,3,medium,8,12,100,0,0,0
37,3,large,15,7,100,0,0,0
38,3,medium,8,13,100,0,0,0
39,3,medium,8,11,100,0,0,0
40,3,medium,7,14,100,0,0,0
41,1,small,4,17,200,0,0,0
42,1,large,13,6,200,0,0,0
43,1,large,12,5,200,0,0,0
44,1,medium,7,10,200,0,0,0
45,1,large,16,5,200,0,0,0
46,1,medium,9,13,200,0,0,0
47,1,medium,9,12,200,0,0,0
48,1,medium,9,11,200,0,0,0
49,2,large,15,7,200,0,0,0
50,2,medium,7,10,200,0,0,0
51,2,small,3,19,200,0,0,0
52,2,small,4,19,200,0,0,0
53,2,large,15,7,200,0,0,0
54,2,medium,7,11,200,0,0,0
55,3,large,13,6,200,0,0,0
56,3,small,3,19,200,0,0,0
57,3,large,16,6,200,0,0,0
58,3,medium,9,12,200,0,0,0
59,3,large,12,8,200,0,0,0
60,3,medium,7,11,200,0,0,0
61,3,large,16,8,200,0,0,0
62,1,small,3,15,300,0,0,0
63,1,small,4,16,300,0,0,0
64,1,large,12,5,300,0,0,0
65,1,small,4,18,300,0,0,0
66,1,small,4,16,300,0,0,0
67,1,small,4,16,300,0,0,0
68,1,small,3,18,300,0,0,0
69,1,small,3,19,300,0,0,0
70,2,medium,9,10,300,0,0,0
71,2,small,4,19,300,0,0,0
72,2,large,13,6,300,0,0,0
73,2,large,16,8,300,0,0,0
74,2,medium,7,10,300,0,0,0
75,2,large,13,7,300,0,0,0
76,2,medium,7,11,300,0,0,0
77,3,medium,7,10,300,0,0,0
78,3,large,12,8,300,0,0,0
